id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,square_feet,bedrooms,amenities_count,price_log,reviews_log,nights_log,reviews,nights,Predicted_Price,Price_Suggestion_Diff
9935949,Spacious Room in Great Neighborhood,1504702,Casey,Brooklyn,Clinton Hill,40.69353,-73.96784,Private room,48,1,2,02-01-2016,0.05,1,0,267,1,1,3.891820298,1.098612289,0.693147181,2,1,50.033035,2.033035278
19808524,Cozy one bedroom apt in artsy Brooklyn Brownstone,781674,Stephen,Brooklyn,Fort Greene,40.68816,-73.97579,home/apt,100,14,5,09-07-2018,0.21,1,0,708,,2,4.615120517,1.791759469,2.708050201,5,14,103.836044,3.836044312
15872277,Room in Stuytown Apartment,37712463,Caroline,Manhattan,Gramercy,40.73267,-73.98259,Private room,100,3,1,29-11-2016,0.03,1,0,78,1,1,4.615120517,0.693147181,1.386294361,1,3,102.01492,2.014923096
34508048,Bedstuy On 4th.,63554174,Sharon,Brooklyn,Bedford-Stuyvesant,40.69091,-73.94514,home/apt,115,30,4,10-06-2019,2.35,1,133,1075,2,3,4.753590191,1.609437912,3.433987204,4,30,121.56452,6.56452179
19363396,Soho Downtown - Large Sunny Private Room!,27721159,Louise,Manhattan,SoHo,40.72635,-74.00298,Private room,94,1,1,05-07-2017,0.04,1,0,131,1,1,4.553876892,0.693147181,0.693147181,1,1,79.27915,-14.72084808
25841768,"Entire Garden Level Home in Greenpoint, Brooklyn",159204067,Maggie,Brooklyn,Greenpoint,40.72488,-73.94932,home/apt,124,1,6,24-03-2019,0.5,1,6,1997,3,2,4.828313737,1.945910149,0.693147181,6,1,121.801094,-2.198905945
1965712,Lovely large 1-bdrm apt UWS,10153235,Tammie,Manhattan,Upper West Side,40.78122,-73.98473,home/apt,235,1,0,,0,1,0,568,0,5,5.463831805,0,0.693147181,0,1,208.57393,-26.42607117
32611977,Mi casa es tu casa! Cozy & comfortable!,245160359,Arnol,Bronx,Belmont,40.85505,-73.89238,Private room,40,2,28,06-07-2019,6.72,1,84,149,1,1,3.713572067,3.36729583,1.098612289,28,2,41.417095,1.417095184
4006264,Cozy Parkside 1 Bedroom Apartment,942933,David,Manhattan,Harlem,40.80489,-73.95759,home/apt,115,1,1,25-09-2014,0.02,1,0,811,1,2,4.753590191,0.693147181,0.693147181,1,1,111.82766,-3.172340393
1496319,Private Huge 2br Williamsburg Artist Apartment!,7997061,Rebecca,Brooklyn,Williamsburg,40.71471,-73.94045,home/apt,250,1,87,27-06-2019,1.23,1,272,849,1,5,5.525452939,4.477336814,0.693147181,87,1,244.33263,-5.667373657
261259,Apartment in Best location in NYC,1370358,Keiko,Manhattan,West Village,40.72953,-74.00462,home/apt,145,7,11,27-05-2015,0.12,1,0,549,1,1,4.983606622,2.48490665,2.079441542,11,7,115.6008,-29.39920044
9330884,"Downtown Manhattan, 2 Bedroom",48427159,Kyle,Manhattan,Lower East Side,40.7225,-73.9894,home/apt,200,3,0,,0,1,0,2388,3,5,5.303304908,0,1.386294361,0,3,204.09308,4.093078613
30388668,"Well-appointed Tribeca Studio w/ Indoor pool, Gym by Blueground",107434423,Blueground,Manhattan,Tribeca,40.71519,-74.00654,home/apt,312,30,0,,0,232,38,,2,8,5.746203191,0,3.433987204,0,30,315.34717,3.347167969
35881347,gorgeous bedroom near Yankee Stadium,263317402,Cynthia Vanessa,Bronx,Concourse Village,40.82964,-73.91833,Private room,53,3,0,,0,1,162,285,1,1,3.988984047,0,1.386294361,0,3,42.67629,-10.3237114
10593675,"La Spezia room.  Clean, quiet and comfortable bed",2787,John,Brooklyn,Bensonhurst,40.60951,-73.97642,Shared room,79,1,15,29-09-2018,0.43,6,180,207,,3,4.382026635,2.772588722,0.693147181,15,1,79.47178,0.47177887
5052495,Sunny Room in Historic Williamsburg Loft,26089087,Karron,Brooklyn,Williamsburg,40.70907,-73.96396,Private room,60,1,33,26-06-2019,2.75,1,19,257,1,1,4.110873864,3.526360525,0.693147181,33,1,60.658707,0.658706665
29617415,Spacious Manhattan room. Well lit! Always clean.,137358866,Kazuya,Manhattan,Harlem,40.81798,-73.94157,Private room,40,30,2,19-05-2019,0.38,103,246,141,1,1,3.713572067,1.098612289,3.433987204,2,30,54.207817,14.20781708
4824211,Bright Comfy Room in East Village,24841295,Micheline,Manhattan,East Village,40.72503,-73.97696,Private room,70,2,5,08-06-2017,0.14,1,0,136,1,1,4.262679877,1.791759469,1.098612289,5,2,78.96606,8.966056824
6520350,The Kook House  - Rockaways BEST Summer House!!,4089529,Michael,Queens,Arverne,40.59399,-73.79693,home/apt,300,1,67,07-07-2019,1.34,1,344,803,1,6,5.707110265,4.219507705,0.693147181,67,1,356.0614,56.06140137
2824329,Spacious Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.7254,-73.94136,home/apt,129,30,3,06-11-2015,0.05,52,336,1085,2,1,4.86753445,1.386294361,3.433987204,3,30,128.5476,-0.452392578
13763512,Classic Exposed Brick Apartment in East Village,40008334,Jennifer,Manhattan,East Village,40.7282,-73.98001,Private room,75,1,159,23-06-2019,4.34,1,84,247,1,1,4.33073334,5.075173815,0.693147181,159,1,71.86091,-3.139091492
20227210,"Sunny one-bedroom apt., close to Prospect Park",1553230,Kate,Brooklyn,Prospect Heights,40.67635,-73.97113,home/apt,124,2,9,19-02-2019,0.39,1,0,1308,2,1,4.828313737,2.302585093,1.098612289,9,2,112.92549,-11.07450867
12812618,Private room in Williamsburg,25233652,Mari,Brooklyn,Williamsburg,40.71279,-73.96291,Private room,80,2,6,01-01-2018,0.16,1,0,161,1,1,4.394449155,1.945910149,1.098612289,6,2,76.10408,-3.8959198
19164752,Great 1 bedroom apartment in Manhattan,71864947,Jure,Manhattan,Washington Heights,40.84393,-73.93979,home/apt,100,5,11,21-03-2019,0.47,1,22,798,2,3,4.615120517,2.48490665,1.791759469,11,5,100.406265,0.406265259
35662019,Cheap price near Timesquare,79269209,소정,Manhattan,Hell's Kitchen,40.75625,-73.99357,Private room,63,31,0,,0,1,250,229,1,1,4.158883083,0,3.465735903,0,31,63.813446,0.813446045
29893519,the Perfect LES studio,174797199,Thaw Dar,Manhattan,Lower East Side,40.72207,-73.98726,home/apt,99,1,11,22-01-2019,1.46,1,0,579,0,1,4.605170186,2.48490665,0.693147181,11,1,109.39221,10.39221191
32935986,Uniware( only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58527,-73.96871,Shared room,28,10,0,,0,12,0,142,1,1,3.36729583,0,2.397895273,0,10,28.042578,0.042577744
32445673,Sunny King-Sized Manhattan 1BR w/Views Awaits You!,28556029,Cheyenne,Manhattan,East Harlem,40.81213,-73.93752,home/apt,95,3,16,30-06-2019,4.07,1,0,,1,3,4.564348191,2.833213344,1.386294361,16,3,96.516525,1.516525269
13098705,Big & Beautiful 1-BR w/Private Backyard,14865754,Jerrell,Manhattan,Harlem,40.81829,-73.94686,home/apt,175,2,34,19-06-2019,0.98,1,75,608,1,5,5.170483995,3.555348061,1.098612289,34,2,175.0362,0.036193848
28661542,Gorgeous Bedroom in the heart of Bushwick Him-2R-2,216235179,Nina,Brooklyn,Bushwick,40.70126,-73.92077,Private room,55,35,2,29-03-2019,0.3,17,365,169,,1,4.025351691,1.098612289,3.583518938,2,35,55.681126,0.681125641
22162572,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77605,-73.98833,home/apt,190,30,4,11-04-2019,0.63,25,363,938,2,5,5.252273428,1.609437912,3.433987204,4,30,193.13795,3.137954712
16735801,Twin bed-Close to Columbia U & Central Park,64471880,Jaleh,Manhattan,Harlem,40.80172,-73.95538,Private room,100,1,226,03-07-2019,7.75,2,32,,1,2,4.615120517,5.424950017,0.693147181,226,1,95.99814,-4.001861572
21275075,Nolita/Soho Duplex Apartment with Rooftop,25265179,Veronica,Manhattan,Nolita,40.72244,-73.99461,home/apt,250,1,9,27-05-2019,0.75,1,0,1370,2,3,5.525452939,2.302585093,0.693147181,9,1,153.66002,-96.33998108
19891485,Cozy and Charming Private Room in Lower East Side,10677720,Deniz,Manhattan,Lower East Side,40.7177,-73.98245,Private room,77,5,20,13-05-2018,0.84,1,0,114,1,2,4.356708827,3.044522438,1.791759469,20,5,78.81045,1.810447693
32549039,Penthouse full floor 4 bedroom apartment,13196439,Cylia,Manhattan,Financial District,40.70436,-74.00927,home/apt,500,5,16,22-06-2019,3.78,1,298,1336,2,8,6.216606101,2.833213344,1.791759469,16,5,406.49274,-93.50726318
13222964,Charming studio West Harlem / sleep three,74196752,Lawrence,Manhattan,Harlem,40.81162,-73.95046,home/apt,100,1,5,28-06-2016,0.13,1,0,620,0,3,4.615120517,1.791759469,0.693147181,5,1,101.207504,1.207504272
22376920,"Quiet, Cozy Room | Heart of Midtown! | Steps to UN",163626113,Alexis,Manhattan,Midtown,40.75349,-73.96545,Private room,160,2,107,30-06-2019,5.73,1,49,143,1,3,5.081404365,4.682131227,1.098612289,107,2,154.07732,-5.922683716
15462245,Authentic Bklyn location with Caribbean vibes,26495690,Maureen,Brooklyn,Crown Heights,40.67141,-73.92643,home/apt,90,30,0,,0,1,0,903,,2,4.510859507,0,3.433987204,0,30,90.22562,0.225616455
30511873,Cozy studio middle of Manhattan/ close to Time sq.,2086035,Piyawan,Manhattan,Hell's Kitchen,40.75611,-73.99386,home/apt,130,4,2,04-04-2019,0.52,2,0,1077,2,1,4.875197323,1.098612289,1.609437912,2,4,122.2095,-7.790496826
7034953,"Elegant 1BR, Private Bath in Brownstone",9492212,Emily And Joel,Brooklyn,Park Slope,40.6688,-73.97865,Private room,139,1,184,10-02-2019,3.86,4,0,306,1,2,4.941642423,5.220355825,0.693147181,184,1,137.324,-1.675994873
20674176,Nice  room midtown Manhattan 6rs,133130315,Artem,Manhattan,Hell's Kitchen,40.76506,-73.98567,Private room,70,3,6,03-01-2019,0.41,6,225,245,1,1,4.262679877,1.945910149,1.386294361,6,3,75.538315,5.538314819
25324289,Gotham City Rental 3,191263373,Gotham,Manhattan,Hell's Kitchen,40.75925,-73.99375,home/apt,225,1,63,08-06-2019,4.83,1,357,,4,5,5.420534999,4.158883083,0.693147181,63,1,228.22954,3.229537964
8326753,Prime Location in Theatre District,34934128,Aly,Manhattan,Theater District,40.76095,-73.98668,Private room,150,2,3,19-06-2017,0.08,1,0,139,1,5,5.017279837,1.386294361,1.098612289,3,2,157.84363,7.84362793
34504929,Luxury Boutique Private  One-bedroom Apartment,109389069,Victoria,Brooklyn,Bushwick,40.69414,-73.92477,home/apt,98,2,7,03-07-2019,3.33,1,4,566,,2,4.59511985,2.079441542,1.098612289,7,2,97.51821,-0.481788635
21390251,Clean 2BR Park Slope Apt w/ Private Outdoor Space,26765262,Derek,Brooklyn,Gowanus,40.66933,-73.99158,home/apt,125,3,70,01-07-2019,3.38,1,99,660,1,3,4.836281907,4.262679877,1.386294361,70,3,129.40034,4.400344849
21344739,Comfortable place/ close to Manhattan,87397826,Monica,Queens,Long Island City,40.75595,-73.93075,Private room,130,7,1,31-03-2018,0.06,2,34,161,1,2,4.875197323,0.693147181,2.079441542,1,7,124.459694,-5.540306091
24397657,Brooklyn Townhouse Apartment in Trendy Bushwick.,30927892,Emily,Brooklyn,Bushwick,40.68865,-73.9081,home/apt,145,4,40,20-06-2019,2.8,1,38,1087,2,2,4.983606622,3.713572067,1.609437912,40,4,140.81056,-4.189437866
3489095,Location Silma,3250450,Petya,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,,0,18,352,280,1,1,3.688879454,0,3.433987204,0,30,39.47125,0.471248627
17558336,"""Borough Border Liner"" Diverse/Convenient/Private",119173203,Maya,Brooklyn,Bushwick,40.70537,-73.91587,Private room,47,1,17,13-05-2018,0.97,1,0,270,1,1,3.871201011,2.890371758,0.693147181,17,1,52.711178,5.711177826
32814024,7 train to visit New York City at your fingertips,246851284,Jose,Queens,Flushing,40.75747,-73.80868,home/apt,450,4,0,,0,1,365,1222,2,8,6.11146734,0,1.609437912,0,4,451.89624,1.896240234
2451438,Quiet & private room in luxury doorman bldg,10193030,Kaori,Manhattan,Harlem,40.82349,-73.94193,Private room,80,3,3,03-10-2017,0.05,2,178,143,1,2,4.394449155,1.386294361,1.386294361,3,3,79.828735,-0.171264648
13332001,Beautiful Room in Brooklyn Apartment,75458749,Beck,Brooklyn,Flatbush,40.64107,-73.95325,Private room,50,4,3,05-08-2016,0.08,2,0,120,1,1,3.931825633,1.386294361,1.609437912,3,4,49.66797,-0.33203125
12897713,Chelsea Flat steps from Herald Sq,70638431,Michael,Manhattan,Chelsea,40.75041,-73.99489,home/apt,300,1,2,26-05-2016,0.05,1,0,1400,3,6,5.707110265,1.098612289,0.693147181,2,1,345.44562,45.44561768
1036498,☆☆New Discount☆☆ 10min to Manhattan,3233986,Daniel,Queens,Astoria,40.75537,-73.91648,Private room,46,4,70,23-05-2019,0.93,2,173,124,1,1,3.850147602,4.262679877,1.609437912,70,4,47.931385,1.93138504
4830799,bright and clean! vintage style!,3677131,Alex,Brooklyn,Red Hook,40.67627,-74.00625,Private room,99,1,58,14-06-2019,1.15,1,88,259,1,3,4.605170186,4.077537444,0.693147181,58,1,100.960464,1.960464478
10827567,Renovated 1 bdrm apt close to city,31411094,Ronit,Brooklyn,Crown Heights,40.6725,-73.93981,home/apt,98,3,128,06-06-2019,3.1,1,342,1284,2,2,4.59511985,4.859812404,1.386294361,128,3,116.03082,18.03082275
19960507,Huge Loft Space in Red Hook,1772509,Jane,Brooklyn,Red Hook,40.67798,-74.00787,home/apt,145,1,11,25-05-2019,0.49,2,333,1874,3,2,4.983606622,2.48490665,0.693147181,11,1,123.412506,-21.5874939
6131606,Harmony House 2 on Madison Street,21014758,Garnet,Brooklyn,Bedford-Stuyvesant,40.68875,-73.92377,Private room,38,2,39,20-06-2019,0.86,3,99,78,,1,3.663561646,3.688879454,1.098612289,39,2,56.61978,18.61978149
10753780,Gorgeous Duplex in the Heart of BK,2423061,Mike,Brooklyn,Clinton Hill,40.6837,-73.96505,home/apt,125,5,1,17-03-2016,0.02,1,0,1713,3,3,4.836281907,0.693147181,1.791759469,1,5,115.94648,-9.053520203
4536637,Kosher new studio close to subway,11010205,Jacob,Brooklyn,Bensonhurst,40.61576,-73.99166,Private room,125,2,4,11-04-2018,0.07,2,0,130,1,2,4.836281907,1.609437912,1.098612289,4,2,124.60982,-0.390182495
29340021,"Home to LGA airport near Manhattan, JFk, Astoria.",221043708,Rumalia,Queens,East Elmhurst,40.7698,-73.87183,home/apt,150,1,29,30-06-2019,3.32,1,360,1120,2,4,5.017279837,3.401197382,0.693147181,29,1,153.0575,3.057495117
9664497,Room in Modern Brooklyn Apartment,32173907,Oliver,Brooklyn,Bushwick,40.70433,-73.92652,Private room,55,3,6,14-04-2017,0.14,1,0,,1,1,4.025351691,1.945910149,1.386294361,6,3,57.07851,2.078510284
15099669,Lower East Side large 1 bedroom,95608415,Cory,Manhattan,Lower East Side,40.71975,-73.98608,home/apt,225,1,2,20-10-2016,0.06,1,0,809,1,5,5.420534999,1.098612289,0.693147181,2,1,223.92139,-1.078613281
10586622,Beautiful Apt w/ rooftop view,14944507,Jason & Carlos,Brooklyn,Park Slope,40.67225,-73.97357,home/apt,160,5,16,08-05-2019,0.4,1,11,673,1,5,5.081404365,2.833213344,1.791759469,16,5,163.58936,3.589355469
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,home/apt,195,3,30,17-06-2019,0.28,1,248,895,1,3,5.278114659,3.433987204,1.386294361,30,3,197.13924,2.13923645
19459965,HOUSE 2 ENTRANCES 2 KITCHEN 2 BATH 15min TO MANHTN,30237517,David,Queens,Forest Hills,40.73437,-73.8502,home/apt,278,3,9,18-11-2018,0.39,6,0,741,1,4,5.631211782,2.302585093,1.386294361,9,3,274.82095,-3.179046631
19625234,"纽约三室一厅两全浴带独立厨房和停车位
Three-Room Two Bath and Parking",115979599,Mike,Queens,Flushing,40.76818,-73.8276,home/apt,188,1,85,07-07-2019,3.52,1,151,848,1,5,5.241747015,4.454347296,0.693147181,85,1,177.58136,-10.41864014
23106220,1min from the station K size bed 20min toManhattan,55468128,Reina,Brooklyn,Bedford-Stuyvesant,40.68928,-73.95541,Private room,70,1,53,24-06-2019,3.29,7,264,,1,1,4.262679877,3.988984047,0.693147181,53,1,57.7411,-12.25889969
15819933,Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Mark,Queens,Ridgewood,40.70735,-73.89343,Private room,20,7,0,,0,1,89,148,1,1,3.044522438,0,2.079441542,0,7,21.84805,1.848049164
26534838,Large Studio in the heart of West Village,5225042,Kai,Manhattan,West Village,40.73429,-74.00487,home/apt,150,3,6,25-03-2019,0.52,1,0,1726,3,5,5.017279837,1.945910149,1.386294361,6,3,164.2817,14.2816925
16027312,"Upper Eastside Studio, Walk to Central Park",46627258,Travis,Manhattan,Upper East Side,40.7806,-73.95178,home/apt,155,21,9,26-07-2018,0.28,1,0,2337,4,3,5.049856007,2.302585093,3.091042453,9,21,149.22499,-5.775009155
33897838,NEW- Sunny and Modern Cobble Hill 1 Bedroom,255980743,Ashley,Brooklyn,Cobble Hill,40.68834,-73.9989,home/apt,170,2,5,19-06-2019,2.31,1,43,1285,,3,5.141663557,1.791759469,1.098612289,5,2,168.29889,-1.70111084
8924552,Sunny 2 bedroom apartment!,6818674,Emily,Brooklyn,Greenpoint,40.73262,-73.95209,home/apt,100,1,2,29-11-2015,0.05,1,0,783,1,1,4.615120517,1.098612289,0.693147181,2,1,94.126785,-5.873214722
28135901,1br apt in Ditmars/Astoria,9813962,Andi,Queens,Ditmars Steinway,40.7787,-73.9093,home/apt,100,4,2,09-09-2018,0.19,1,26,562,0,1,4.615120517,1.098612289,1.609437912,2,4,100.29101,0.291007996
16976215,Awesome Chelsea Manhattan Pad,15851669,Lisa,Manhattan,Chelsea,40.7429,-73.99344,Private room,125,1,1,30-01-2017,0.03,1,0,259,1,3,4.836281907,0.693147181,0.693147181,1,1,124.01539,-0.984611511
11486357,"Sunny Room, Hamilton Heights Section of Manhattan",27378293,Lendy,Manhattan,Harlem,40.8285,-73.94889,Private room,87,1,2,30-11-2018,0.23,3,332,276,1,2,4.477336814,1.098612289,0.693147181,2,1,87.61926,0.619262695
16417951,Cozy modern sunny room for 2,87690038,Wesly/Jessica,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,52,2,123,17-06-2019,4.01,4,332,238,1,1,3.970291914,4.820281566,1.098612289,123,2,52.48076,0.480758667
16207381,Airy 2-Bedroom Apt with Terrace in Spanish Harlem,7913732,Sarah,Manhattan,East Harlem,40.79952,-73.93764,home/apt,240,3,4,03-09-2018,0.17,1,7,495,0,3,5.484796933,1.609437912,1.386294361,4,3,129.68793,-110.3120728
29359403,Cozy Sunny Harlem Studio,130054323,Fabrice,Manhattan,Harlem,40.82361,-73.93926,home/apt,102,1,17,19-06-2019,2.14,1,75,473,1,1,4.634728988,2.890371758,0.693147181,17,1,102.43823,0.438232422
6386823,Cozy Manhattan room ★ 3 mins to subway,21361229,Vivian Yuen Ting,Manhattan,Washington Heights,40.83998,-73.94295,Private room,70,1,88,30-06-2019,3.66,1,0,242,1,1,4.262679877,4.48863637,0.693147181,88,1,67.68018,-2.319816589
23917121,"Sunny, Spacious Bed Stuy Dream Apartment",179765779,Allegra,Brooklyn,Bedford-Stuyvesant,40.6824,-73.93045,home/apt,125,3,80,07-07-2019,5.41,1,269,803,1,1,4.836281907,4.394449155,1.386294361,80,3,97.4221,-27.57790375
9635607,Suite Oasis - Luxurious & Cozy Apt,49831860,Robert,Brooklyn,Canarsie,40.6424,-73.91275,home/apt,125,2,172,23-06-2019,4.01,2,155,559,0,3,4.836281907,5.153291594,1.098612289,172,2,121.26344,-3.736557007
8506867,"Sunny, spacious UWS abode with view",258023,Johann,Manhattan,Upper West Side,40.77799,-73.98205,home/apt,220,1,2,10-03-2016,0.05,1,0,670,1,3,5.398162702,1.098612289,0.693147181,2,1,159.78647,-60.21353149
5434197,Convenient Room Near Subway ABCD&1!,4534649,L & A,Manhattan,Harlem,40.81663,-73.95315,Private room,55,2,71,15-12-2016,1.34,3,0,227,,1,4.025351691,4.276666119,1.098612289,71,2,54.980766,-0.019233704
747159,sunny private room in east village,3801683,Jackson,Manhattan,Gramercy,40.73158,-73.98303,Private room,120,4,132,02-07-2019,1.62,1,267,236,1,3,4.795790546,4.890349128,1.609437912,132,4,118.32585,-1.67414856
35640448,"3 bedroom beautiful, cozy apt close to Times Sq.",267989700,Nusrat,Queens,Sunnyside,40.74174,-73.90817,home/apt,179,1,1,22-06-2019,1,1,321,781,1,3,5.192956851,0.693147181,0.693147181,1,1,173.27335,-5.726654053
26425032,Private Room in apartment (1),198478845,Jelani,Brooklyn,Clinton Hill,40.6867,-73.9612,Private room,59,4,6,20-06-2019,0.87,2,156,216,1,1,4.094344562,1.945910149,1.609437912,6,4,73.860306,14.86030579
3580577,Park Slope beauty,18032197,Domenick,Brooklyn,Sunset Park,40.66273,-73.99111,home/apt,100,4,25,03-01-2019,1.11,1,0,381,0,2,4.615120517,3.258096538,1.609437912,25,4,109.48252,9.482521057
33618213,Clean and quiet Brooklyn room 35 mins from Soho,23991239,Ann,Brooklyn,Bedford-Stuyvesant,40.68898,-73.94139,Private room,50,10,1,01-06-2019,0.77,1,246,285,1,1,3.931825633,0.693147181,2.397895273,1,10,49.593296,-0.406703949
5956257,Private Prospect Park Bed and Bath ,30918671,Conor,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,60,1,0,,0,1,0,247,1,1,4.110873864,0,0.693147181,0,1,56.871284,-3.128715515
29779937,**  2 Bedrooms in Central NYC! ***,194954408,Bruce,Manhattan,Midtown,40.75175,-73.98499,home/apt,295,28,4,20-05-2019,0.51,1,147,2491,4,4,5.690359454,1.609437912,3.36729583,4,28,272.96698,-22.03302002
34419094,Lovely  LIC-Lush garden-Midtown1stop-Breakfast,259796664,Santi,Queens,Long Island City,40.75314,-73.93644,Private room,89,1,9,23-06-2019,4.5,10,357,233,1,3,4.49980967,2.302585093,0.693147181,9,1,90.005424,1.0054245
24805679,A seriene space in Bushwick,187532995,Adi,Brooklyn,Bushwick,40.70447,-73.92589,Private room,70,4,2,27-05-2018,0.14,1,363,221,1,1,4.262679877,1.098612289,1.609437912,2,4,72.18851,2.18850708
35878481,"Home Away Home,NextDoor To Subway, Accommodates 10",21261408,Jay,Brooklyn,Bedford-Stuyvesant,40.68988,-73.95936,home/apt,282,1,1,25-06-2019,1,6,342,400,0,4,5.645446898,0.693147181,0.693147181,1,1,167.70078,-114.2992249
36222367,Garden flat in most artistic New York Bushwick,272342845,Marc,Brooklyn,Bushwick,40.70157,-73.92542,home/apt,160,2,0,,0,2,359,1101,2,3,5.081404365,0,1.098612289,0,2,166.76454,6.764541626
20710508,1 bedroom in East Village (private ensuite),25124335,Danny,Manhattan,East Village,40.72987,-73.98283,Private room,100,3,3,19-11-2017,0.14,1,0,104,1,3,4.615120517,1.386294361,1.386294361,3,3,103.80845,3.808448792
5061309,Sunny room in Bushwick; Minutes from subway!,13501341,Fiorella,Brooklyn,Bushwick,40.70171,-73.91344,Private room,60,1,155,20-06-2019,3.39,2,170,223,1,1,4.110873864,5.049856007,0.693147181,155,1,49.23057,-10.76942825
17268111,Lighted Luxury Studio!,40821640,Alina,Queens,Forest Hills,40.72737,-73.85156,home/apt,50,27,0,,0,1,0,1032,2,1,3.931825633,0,3.33220451,0,27,50.99209,0.992088318
19175650,Private room and shared living room,134104016,Amy,Queens,Woodside,40.74505,-73.89995,Private room,80,2,11,04-11-2018,0.45,1,10,125,1,2,4.394449155,2.48490665,1.098612289,11,2,78.915436,-1.084564209
5926953,"Modern, Cozy & Bright Private Room and Bathroom",30430827,Steve,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,24-06-2019,3.02,1,249,215,1,1,4.262679877,5.030437921,0.693147181,152,1,69.4127,-0.587303162
3802218,Cozy Private Bedroom,19533769,Chandra,Bronx,Mott Haven,40.80772,-73.91791,Private room,53,1,321,12-06-2019,5.46,1,44,233,1,1,3.988984047,5.774551546,0.693147181,321,1,52.28523,-0.714771271
