id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,amenities,square_feet,bedrooms
4824211,Bright Comfy Room in East Village,24841295,Micheline,Manhattan,East Village,40.72503,-73.97696,Private room,70,2,5,2017-06-08,0.14,1,0,"{""Heating""}",136.0,1.0
6520350,The Kook House  - Rockaways BEST Summer House!!,4089529,Michael,Queens,Arverne,40.59399,-73.79693,Entire home/apt,300,1,67,2019-07-07,1.34,1,344,"{""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Washer"", ""Microwave"", ""Kitchen""}",803.0,1.0
2824329,Spacious Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.7254,-73.94136,Entire home/apt,129,30,3,2015-11-06,0.05,52,336,"{""Air conditioning""}",1085.0,2.0
13763512,Classic Exposed Brick Apartment in East Village,40008334,Jennifer,Manhattan,East Village,40.7282,-73.98001,Private room,75,1,159,2019-06-23,4.34,1,84,"{""Hot water""}",247.0,1.0
20227210,"Sunny one-bedroom apt., close to Prospect Park",1553230,Kate,Brooklyn,Prospect Heights,40.67635,-73.97113,Entire home/apt,124,2,9,2019-02-19,0.39,1,0,"{""Air conditioning""}",1308.0,2.0
12812618,Private room in Williamsburg,25233652,Mari,Brooklyn,Williamsburg,40.71279,-73.96291,Private room,80,2,6,2018-01-01,0.16,1,0,"{""Microwave""}",161.0,1.0
19164752,Great 1 bedroom apartment in Manhattan,71864947,Jure,Manhattan,Washington Heights,40.84393,-73.93979,Entire home/apt,100,5,11,2019-03-21,0.47,1,22,"{""Microwave"", ""Kitchen"", ""Wifi""}",798.0,2.0
35662019,Cheap price near Timesquare,79269209,소정,Manhattan,Hell's Kitchen,40.75625,-73.99357,Private room,63,31,0,,,1,250,"{""Wifi""}",229.0,1.0
29893519,the Perfect LES studio,174797199,Thaw Dar,Manhattan,Lower East Side,40.72207,-73.98726,Entire home/apt,99,1,11,2019-01-22,1.46,1,0,"{""Washer""}",579.0,0.0
32935986,Uniware( only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58527,-73.96871,Shared room,28,10,0,,,12,0,"{""Microwave""}",142.0,1.0
32445673,Sunny King-Sized Manhattan 1BR w/Views Awaits You!,28556029,Cheyenne,Manhattan,East Harlem,40.81213,-73.93752,Entire home/apt,95,3,16,2019-06-30,4.07,1,0,"{""Hot water"", ""Refrigerator"", ""Microwave""}",,1.0
13098705,Big & Beautiful 1-BR w/Private Backyard,14865754,Jerrell,Manhattan,Harlem,40.81829,-73.94686,Entire home/apt,175,2,34,2019-06-19,0.98,1,75,"{""Microwave"", ""Air conditioning"", ""Washer"", ""Kitchen"", ""Heating""}",608.0,1.0
28661542,Gorgeous Bedroom in the heart of Bushwick Him-2R-2,216235179,Nina,Brooklyn,Bushwick,40.70126,-73.92077,Private room,55,35,2,2019-03-29,0.3,17,365,"{""Kitchen""}",169.0,
22162572,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77605,-73.98833,Entire home/apt,190,30,4,2019-04-11,0.63,25,363,"{""Heating"", ""Hot water"", ""Air conditioning"", ""Washer"", ""Kitchen""}",938.0,2.0
16735801,Twin bed-Close to Columbia U & Central Park,64471880,Jaleh,Manhattan,Harlem,40.80172,-73.95538,Private room,100,1,226,2019-07-03,7.75,2,32,"{""Wifi"", ""Microwave""}",,1.0
21275075,Nolita/Soho Duplex Apartment with Rooftop,25265179,Veronica,Manhattan,Nolita,40.72244,-73.99461,Entire home/apt,250,1,9,2019-05-27,0.75,1,0,"{""Hot water"", ""Wifi"", ""Refrigerator""}",1370.0,2.0
19891485,Cozy and Charming Private Room in Lower East Side,10677720,Deniz,Manhattan,Lower East Side,40.7177,-73.98245,Private room,77,5,20,2018-05-13,0.84,1,0,"{""Refrigerator"", ""Air conditioning""}",114.0,1.0
32549039,Penthouse full floor 4 bedroom apartment,13196439,Cylia,Manhattan,Financial District,40.70436,-74.00927,Entire home/apt,500,5,16,2019-06-22,3.78,1,298,"{""Hot water"", ""Wifi"", ""Heating"", ""Microwave"", ""Refrigerator"", ""Kitchen"", ""Washer"", ""Air conditioning""}",1336.0,2.0
13222964,Charming studio West Harlem / sleep three,74196752,Lawrence,Manhattan,Harlem,40.81162,-73.95046,Entire home/apt,100,1,5,2016-06-28,0.13,1,0,"{""Wifi"", ""Kitchen"", ""Refrigerator""}",620.0,0.0
22376920,"Quiet, Cozy Room | Heart of Midtown! | Steps to UN",163626113,Alexis,Manhattan,Midtown,40.75349,-73.96545,Private room,160,2,107,2019-06-30,5.73,1,49,"{""Kitchen"", ""Refrigerator"", ""Air conditioning""}",143.0,1.0
15462245,Authentic Bklyn location with Caribbean vibes,26495690,Maureen,Brooklyn,Crown Heights,40.67141,-73.92643,Entire home/apt,90,30,0,,,1,0,"{""Washer"", ""Air conditioning""}",903.0,
30511873,Cozy studio middle of Manhattan/ close to Time sq.,2086035,Piyawan,Manhattan,Hell's Kitchen,40.75611,-73.99386,Entire home/apt,130,4,2,2019-04-04,0.52,2,0,"{""Air conditioning""}",1077.0,2.0
7034953,"Elegant 1BR, Private Bath in Brownstone",9492212,Emily And Joel,Brooklyn,Park Slope,40.6688,-73.97865,Private room,139,1,184,2019-02-10,3.86,4,0,"{""Refrigerator"", ""Air conditioning""}",306.0,1.0
20674176,Nice  room midtown Manhattan 6rs,133130315,Artem,Manhattan,Hell's Kitchen,40.76506,-73.98567,Private room,70,3,6,2019-01-03,0.41,6,225,"{""Washer""}",245.0,1.0
25324289,Gotham City Rental 3,191263373,Gotham,Manhattan,Hell's Kitchen,40.75925,-73.99375,Entire home/apt,225,1,63,2019-06-08,4.83,1,357,"{""Kitchen"", ""Microwave"", ""Hot water"", ""Heating"", ""Air conditioning""}",,4.0
8326753,Prime Location in Theatre District,34934128,Aly,Manhattan,Theater District,40.76095,-73.98668,Private room,150,2,3,2017-06-19,0.08,1,0,"{""Wifi"", ""Microwave"", ""Hot water"", ""Heating"", ""Kitchen""}",139.0,1.0
34504929,Luxury Boutique Private  One-bedroom Apartment,109389069,Victoria,Brooklyn,Bushwick,40.69414,-73.92477,Entire home/apt,98,2,7,2019-07-03,3.33,1,4,"{""Heating"", ""Refrigerator""}",566.0,
21390251,Clean 2BR Park Slope Apt w/ Private Outdoor Space,26765262,Derek,Brooklyn,Gowanus,40.66933,-73.99158,Entire home/apt,125,3,70,2019-07-01,3.38,1,99,"{""Refrigerator"", ""Washer"", ""Air conditioning""}",660.0,1.0
21344739,Comfortable place/ close to Manhattan,87397826,Monica,Queens,Long Island City,40.75595,-73.93075,Private room,130,7,1,2018-03-31,0.06,2,34,"{""Heating"", ""Wifi""}",161.0,1.0
24397657,Brooklyn Townhouse Apartment in Trendy Bushwick.,30927892,Emily,Brooklyn,Bushwick,40.68865,-73.9081,Entire home/apt,145,4,40,2019-06-20,2.8,1,38,"{""Microwave"", ""Refrigerator""}",1087.0,2.0
3489095,Location Silma,3250450,Petya,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,,,18,352,"{""Wifi""}",280.0,1.0
17558336,"""Borough Border Liner"" Diverse/Convenient/Private",119173203,Maya,Brooklyn,Bushwick,40.70537,-73.91587,Private room,47,1,17,2018-05-13,0.97,1,0,"{""Hot water""}",270.0,1.0
32814024,7 train to visit New York City at your fingertips,246851284,Jose,Queens,Flushing,40.75747,-73.80868,Entire home/apt,450,4,0,,,1,365,"{""Wifi"", ""Washer"", ""Kitchen"", ""Hot water"", ""Air conditioning"", ""Refrigerator"", ""Microwave"", ""Heating""}",1222.0,2.0
2451438,Quiet & private room in luxury doorman bldg,10193030,Kaori,Manhattan,Harlem,40.82349,-73.94193,Private room,80,3,3,2017-10-03,0.05,2,178,"{""Washer"", ""Heating""}",143.0,1.0
13332001,Beautiful Room in Brooklyn Apartment,75458749,Beck,Brooklyn,Flatbush,40.64107,-73.95325,Private room,50,4,3,2016-08-05,0.08,2,0,"{""Wifi""}",120.0,1.0
12897713,Chelsea Flat steps from Herald Sq,70638431,Michael,Manhattan,Chelsea,40.75041,-73.99489,Entire home/apt,300,1,2,2016-05-26,0.05,1,0,"{""Air conditioning"", ""Wifi"", ""Refrigerator"", ""Kitchen"", ""Heating"", ""Microwave""}",1400.0,3.0
1036498,☆☆New Discount☆☆ 10min to Manhattan,3233986,Daniel,Queens,Astoria,40.75537,-73.91648,Private room,46,4,70,2019-05-23,0.93,2,173,"{""Air conditioning""}",124.0,1.0
4830799,bright and clean! vintage style!,3677131,Alex,Brooklyn,Red Hook,40.67627,-74.00625,Private room,99,1,58,2019-06-14,1.15,1,88,"{""Heating"", ""Hot water"", ""Kitchen""}",259.0,1.0
10827567,Renovated 1 bdrm apt close to city,31411094,Ronit,Brooklyn,Crown Heights,40.6725,-73.93981,Entire home/apt,98,3,128,2019-06-06,3.1,1,342,"{""Hot water"", ""Washer""}",1284.0,2.0
19960507,Huge Loft Space in Red Hook,1772509,Jane,Brooklyn,Red Hook,40.67798,-74.00787,Entire home/apt,145,1,11,2019-05-25,0.49,2,333,"{""Microwave"", ""Wifi""}",1874.0,3.0
6131606,Harmony House 2 on Madison Street,21014758,Garnet,Brooklyn,Bedford-Stuyvesant,40.68875,-73.92377,Private room,38,2,39,2019-06-20,0.86,3,99,"{""Refrigerator""}",78.0,
10753780,Gorgeous Duplex in the Heart of BK,2423061,Mike,Brooklyn,Clinton Hill,40.6837,-73.96505,Entire home/apt,125,5,1,2016-03-17,0.02,1,0,"{""Washer"", ""Kitchen"", ""Air conditioning""}",1713.0,3.0
4536637,Kosher new studio close to subway,11010205,Jacob,Brooklyn,Bensonhurst,40.61576,-73.99166,Private room,125,2,4,2018-04-11,0.07,2,0,"{""Kitchen"", ""Wifi""}",130.0,1.0
29340021,"Home to LGA airport near Manhattan, JFk, Astoria.",221043708,Rumalia,Queens,East Elmhurst,40.7698,-73.87183,Entire home/apt,150,1,29,2019-06-30,3.32,1,360,"{""Washer"", ""Microwave"", ""Refrigerator"", ""Air conditioning""}",1120.0,2.0
9664497,Room in Modern Brooklyn Apartment,32173907,Oliver,Brooklyn,Bushwick,40.70433,-73.92652,Private room,55,3,6,2017-04-14,0.14,1,0,"{""Washer""}",,1.0
15099669,Lower East Side large 1 bedroom,95608415,Cory,Manhattan,Lower East Side,40.71975,-73.98608,Entire home/apt,225,1,2,2016-10-20,0.06,1,0,"{""Wifi"", ""Refrigerator"", ""Microwave"", ""Hot water"", ""Heating""}",809.0,1.0
10586622,Beautiful Apt w/ rooftop view,14944507,Jason & Carlos,Brooklyn,Park Slope,40.67225,-73.97357,Entire home/apt,160,5,16,2019-05-08,0.4,1,11,"{""Hot water"", ""Refrigerator"", ""Wifi"", ""Washer"", ""Kitchen""}",673.0,1.0
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17,0.28,1,248,"{""Refrigerator"", ""Heating"", ""Microwave""}",895.0,1.0
19459965,HOUSE 2 ENTRANCES 2 KITCHEN 2 BATH 15min TO MANHTN,30237517,David,Queens,Forest Hills,40.73437,-73.8502,Entire home/apt,278,3,9,2018-11-18,0.39,6,0,"{""Refrigerator"", ""Kitchen"", ""Air conditioning"", ""Microwave""}",741.0,1.0
19625234,"纽约三室一厅两全浴带独立厨房和停车位
Three-Room Two Bath and Parking",115979599,Mike,Queens,Flushing,40.76818,-73.8276,Entire home/apt,188,1,85,2019-07-07,3.52,1,151,"{""Heating"", ""Wifi"", ""Air conditioning"", ""Washer"", ""Microwave""}",848.0,1.0
17554541,Delightful Brooklyn townhouse,5817532,Christy,Brooklyn,Park Slope,40.68326,-73.97796,Entire home/apt,600,6,7,2019-01-03,0.36,1,42,"{""Refrigerator"", ""Washer"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Heating""}",825.0,2.0
23106220,1min from the station K size bed 20min toManhattan,55468128,Reina,Brooklyn,Bedford-Stuyvesant,40.68928,-73.95541,Private room,70,1,53,2019-06-24,3.29,7,264,"{""Kitchen""}",,1.0
15819933,Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Mark,Queens,Ridgewood,40.70735,-73.89343,Private room,20,7,0,,,1,89,"{""Hot water""}",148.0,1.0
26534838,Large Studio in the heart of West Village,5225042,Kai,Manhattan,West Village,40.73429,-74.00487,Entire home/apt,150,3,6,2019-03-25,0.52,1,0,"{""Microwave"", ""Air conditioning"", ""Kitchen"", ""Refrigerator"", ""Heating""}",1726.0,3.0
16027312,"Upper Eastside Studio, Walk to Central Park",46627258,Travis,Manhattan,Upper East Side,40.7806,-73.95178,Entire home/apt,155,21,9,2018-07-26,0.28,1,0,"{""Kitchen"", ""Air conditioning"", ""Refrigerator""}",2337.0,4.0
33897838,NEW- Sunny and Modern Cobble Hill 1 Bedroom,255980743,Ashley,Brooklyn,Cobble Hill,40.68834,-73.9989,Entire home/apt,170,2,5,2019-06-19,2.31,1,43,"{""Hot water"", ""Washer"", ""Heating""}",1285.0,
8924552,Sunny 2 bedroom apartment!,6818674,Emily,Brooklyn,Greenpoint,40.73262,-73.95209,Entire home/apt,100,1,2,2015-11-29,0.05,1,0,"{""Air conditioning""}",783.0,1.0
28135901,1br apt in Ditmars/Astoria,9813962,Andi,Queens,Ditmars Steinway,40.7787,-73.9093,Entire home/apt,100,4,2,2018-09-09,0.19,1,26,"{""Air conditioning""}",562.0,0.0
16976215,Awesome Chelsea Manhattan Pad,15851669,Lisa,Manhattan,Chelsea,40.7429,-73.99344,Private room,125,1,1,2017-01-30,0.03,1,0,"{""Hot water"", ""Wifi"", ""Air conditioning""}",259.0,1.0
11486357,"Sunny Room, Hamilton Heights Section of Manhattan",27378293,Lendy,Manhattan,Harlem,40.8285,-73.94889,Private room,87,1,2,2018-11-30,0.23,3,332,"{""Heating"", ""Kitchen""}",276.0,1.0
16417951,Cozy modern sunny room for 2,87690038,Wesly/Jessica,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,52,2,123,2019-06-17,4.01,4,332,"{""Hot water""}",238.0,1.0
16207381,Airy 2-Bedroom Apt with Terrace in Spanish Harlem,7913732,Sarah,Manhattan,East Harlem,40.79952,-73.93764,Entire home/apt,240,3,4,2018-09-03,0.17,1,7,"{""Kitchen"", ""Microwave"", ""Refrigerator""}",495.0,0.0
29359403,Cozy Sunny Harlem Studio,130054323,Fabrice,Manhattan,Harlem,40.82361,-73.93926,Entire home/apt,102,1,17,2019-06-19,2.14,1,75,"{""Refrigerator""}",473.0,1.0
6386823,Cozy Manhattan room ★ 3 mins to subway,21361229,Vivian Yuen Ting,Manhattan,Washington Heights,40.83998,-73.94295,Private room,70,1,88,2019-06-30,3.66,1,0,"{""Heating""}",242.0,1.0
23917121,"Sunny, Spacious Bed Stuy Dream Apartment",179765779,Allegra,Brooklyn,Bedford-Stuyvesant,40.6824,-73.93045,Entire home/apt,125,3,80,2019-07-07,5.41,1,269,"{""Heating""}",803.0,1.0
9635607,Suite Oasis - Luxurious & Cozy Apt,49831860,Robert,Brooklyn,Canarsie,40.6424,-73.91275,Entire home/apt,125,2,172,2019-06-23,4.01,2,155,"{""Air conditioning"", ""Heating"", ""Hot water""}",559.0,0.0
8506867,"Sunny, spacious UWS abode with view",258023,Johann,Manhattan,Upper West Side,40.77799,-73.98205,Entire home/apt,220,1,2,2016-03-10,0.05,1,0,"{""Kitchen"", ""Air conditioning"", ""Wifi""}",670.0,1.0
5434197,Convenient Room Near Subway ABCD&1!,4534649,L & A,Manhattan,Harlem,40.81663,-73.95315,Private room,55,2,71,2016-12-15,1.34,3,0,"{""Hot water""}",227.0,
747159,sunny private room in east village,3801683,Jackson,Manhattan,Gramercy,40.73158,-73.98303,Private room,120,4,132,2019-07-02,1.62,1,267,"{""Kitchen"", ""Microwave"", ""Wifi""}",236.0,1.0
35640448,"3 bedroom beautiful, cozy apt close to Times Sq.",267989700,Nusrat,Queens,Sunnyside,40.74174,-73.90817,Entire home/apt,179,1,1,2019-06-22,1.0,1,321,"{""Wifi"", ""Refrigerator"", ""Hot water""}",781.0,1.0
26425032,Private Room in apartment (1),198478845,Jelani,Brooklyn,Clinton Hill,40.6867,-73.9612,Private room,59,4,6,2019-06-20,0.87,2,156,"{""Refrigerator""}",216.0,1.0
3580577,Park Slope beauty,18032197,Domenick,Brooklyn,Sunset Park,40.66273,-73.99111,Entire home/apt,100,4,25,2019-01-03,1.11,1,0,"{""Kitchen"", ""Hot water""}",381.0,0.0
33618213,Clean and quiet Brooklyn room 35 mins from Soho,23991239,Ann,Brooklyn,Bedford-Stuyvesant,40.68898,-73.94139,Private room,50,10,1,2019-06-01,0.77,1,246,"{""Kitchen""}",285.0,1.0
5956257,Private Prospect Park Bed and Bath ,30918671,Conor,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,60,1,0,,,1,0,"{""Refrigerator""}",247.0,1.0
29779937,**  2 Bedrooms in Central NYC! ***,194954408,Bruce,Manhattan,Midtown,40.75175,-73.98499,Entire home/apt,295,28,4,2019-05-20,0.51,1,147,"{""Refrigerator"", ""Air conditioning"", ""Heating"", ""Microwave""}",2491.0,4.0
34419094,Lovely  LIC-Lush garden-Midtown1stop-Breakfast,259796664,Santi,Queens,Long Island City,40.75314,-73.93644,Private room,89,1,9,2019-06-23,4.5,10,357,"{""Heating"", ""Refrigerator"", ""Microwave""}",233.0,1.0
24805679,A seriene space in Bushwick,187532995,Adi,Brooklyn,Bushwick,40.70447,-73.92589,Private room,70,4,2,2018-05-27,0.14,1,363,"{""Refrigerator""}",221.0,1.0
35878481,"Home Away Home,NextDoor To Subway, Accommodates 10",21261408,Jay,Brooklyn,Bedford-Stuyvesant,40.68988,-73.95936,Entire home/apt,282,1,1,2019-06-25,1.0,6,342,"{""Kitchen"", ""Heating"", ""Wifi"", ""Hot water""}",400.0,0.0
36222367,Garden flat in most artistic New York Bushwick,272342845,Marc,Brooklyn,Bushwick,40.70157,-73.92542,Entire home/apt,160,2,0,,,2,359,"{""Hot water"", ""Washer"", ""Wifi""}",1101.0,2.0
20710508,1 bedroom in East Village (private ensuite),25124335,Danny,Manhattan,East Village,40.72987,-73.98283,Private room,100,3,3,2017-11-19,0.14,1,0,"{""Microwave"", ""Refrigerator"", ""Air conditioning""}",104.0,1.0
5061309,Sunny room in Bushwick; Minutes from subway!,13501341,Fiorella,Brooklyn,Bushwick,40.70171,-73.91344,Private room,60,1,155,2019-06-20,3.39,2,170,"{""Air conditioning""}",223.0,1.0
17268111,Lighted Luxury Studio!,40821640,Alina,Queens,Forest Hills,40.72737,-73.85156,Entire home/apt,50,27,0,,,1,0,"{""Heating""}",1032.0,2.0
19175650,Private room and shared living room,134104016,Amy,Queens,Woodside,40.74505,-73.89995,Private room,80,2,11,2018-11-04,0.45,1,10,"{""Heating"", ""Refrigerator""}",125.0,1.0
5926953,"Modern, Cozy & Bright Private Room and Bathroom",30430827,Steve,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,2019-06-24,3.02,1,249,"{""Refrigerator""}",215.0,1.0
3802218,Cozy Private Bedroom,19533769,Chandra,Bronx,Mott Haven,40.80772,-73.91791,Private room,53,1,321,2019-06-12,5.46,1,44,"{""Hot water""}",233.0,1.0
4791964,Bohemian Retreat in Williamsburg,1725974,Elani,Brooklyn,Williamsburg,40.70973,-73.96056,Private room,100,1,0,,,1,0,"{""Kitchen"", ""Hot water""}",100.0,1.0
9028527,Sunny duplex near Central Park,1584064,Adrienne,Manhattan,Harlem,40.80093,-73.95012,Entire home/apt,165,1,0,,,2,0,"{""Heating"", ""Microwave"", ""Kitchen"", ""Washer"", ""Refrigerator""}",676.0,1.0
13431664,Private Condo Room w/ Patio,74727409,Agustina,Bronx,Longwood,40.81937,-73.90978,Private room,45,2,68,2019-05-30,1.83,1,156,"{""Microwave""}",143.0,1.0
16133101,Sunny Room in Bed Stuy Brooklyn,1626704,Meghan,Brooklyn,Bedford-Stuyvesant,40.69512,-73.94978,Private room,75,2,55,2018-12-30,1.95,1,0,"{""Washer""}",150.0,1.0
33686419,Prime Williamsburg 2BR w/ NYC View -Long Term Only,82742663,Scott,Brooklyn,Williamsburg,40.71948,-73.96376,Entire home/apt,150,30,1,2019-04-29,0.42,1,160,"{""Refrigerator"", ""Air conditioning"", ""Wifi"", ""Hot water"", ""Heating""}",1201.0,3.0
31149078,Sharing room for FEMALE #2,167620568,Mikosya,Brooklyn,Brighton Beach,40.5776,-73.96231,Shared room,30,1,1,2019-06-23,1.0,2,364,"{""Air conditioning""}",219.0,1.0
